person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Deputy U.S. Marshal Charles Edwin Short,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, August 23, 1891",Cause of Death: Gunfire,Gunfire,1891-08-23,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman John J. Sherman,"New York Police Department, NY","EOW: Tuesday, September 1, 1891",Cause of Death: Stabbed,Stabbed,1891-09-01,1891,FALSE,New York Police Department, NY
Officer Adolphus C. Constantine,"Metropolitan Police Department, DC","EOW: Thursday, September 10, 1891",Cause of Death: Drowned,Drowned,1891-09-10,1891,FALSE,Metropolitan Police Department, DC
Officer Alexander G. Grant,"San Francisco Police Department, CA","EOW: Friday, September 11, 1891",Cause of Death: Gunfire,Gunfire,1891-09-11,1891,FALSE,San Francisco Police Department, CA
Sheriff John McCargue,"Pulaski County Sheriff's Department, KY","EOW: Sunday, September 13, 1891",Cause of Death: Gunfire,Gunfire,1891-09-13,1891,FALSE,Pulaski County Sheriff's Department, KY
Deputy U.S. Marshal Joseph S. Wilson,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, September 23, 1891",Cause of Death: Assault,Assault,1891-09-23,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal R. Lee Taylor,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, October 1, 1891",Cause of Death: Gunfire,Gunfire,1891-10-01,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman George Schlinger,"Chicago Police Department, IL","EOW: Saturday, October 10, 1891",Cause of Death: Gunfire,Gunfire,1891-10-10,1891,FALSE,Chicago Police Department, IL
Deputy U.S. Marshal George E. Thornton,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, October 28, 1891",Cause of Death: Gunfire,Gunfire,1891-10-28,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal George Wise,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, October 30, 1891",Cause of Death: Stabbed,Stabbed,1891-10-30,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Deputized Civilian Calixto Garcia,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, October 30, 1891",Cause of Death: Stabbed,Stabbed,1891-10-30,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman Joseph Hyde,"Amsterdam Police Department, NY","EOW: Saturday, November 14, 1891",Cause of Death: Gunfire,Gunfire,1891-11-14,1891,FALSE,Amsterdam Police Department, NY
Deputy U.S. Marshal Dan Osborne,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, November 20, 1891",Cause of Death: Gunfire,Gunfire,1891-11-20,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff John W. Artrip,"Knott County Sheriff's Department, KY","EOW: Saturday, November 21, 1891",Cause of Death: Gunfire,Gunfire,1891-11-21,1891,FALSE,Knott County Sheriff's Department, KY
Officer Junius B. Slack,"Metropolitan Police Department, DC","EOW: Friday, November 27, 1891",Cause of Death: Stabbed,Stabbed,1891-11-27,1891,FALSE,Metropolitan Police Department, DC
Deputy Sheriff David Morgan,"Bowie County Sheriff's Department, TX","EOW: Friday, November 27, 1891",Cause of Death: Gunfire,Gunfire,1891-11-27,1891,FALSE,Bowie County Sheriff's Department, TX
Special Officer Joseph Lampkin,"Atchison, Topeka and Santa Fe Railroad Police Department, RR","EOW: Tuesday, December 8, 1891",Cause of Death: Gunfire,Gunfire,1891-12-08,1891,FALSE,"Atchison, Topeka and Santa Fe Railroad Police Department", RR
Special Deputy Marshal Josiah Poorboy,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, December 8, 1891",Cause of Death: Gunfire,Gunfire,1891-12-08,1891,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Thomas Whitehead,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, December 8, 1891",Cause of Death: Gunfire,Gunfire,1891-12-08,1891,FALSE,United States Department of Justice - United States Marshals Service, US
City Marshal Taylor Vice,"Sharpsburg Marshal's Office, KY","EOW: Saturday, December 26, 1891",Cause of Death: Stabbed,Stabbed,1891-12-26,1891,FALSE,Sharpsburg Marshal's Office, KY
Policeman Elmer Findley,"Philadelphia Police Department, PA","EOW: Tuesday, December 29, 1891",Cause of Death: Gunfire,Gunfire,1891-12-29,1891,FALSE,Philadelphia Police Department, PA
Patrolman John Martin,"Kansas City Police Department, MO","EOW: Friday, January 1, 1892",Cause of Death: Gunfire,Gunfire,1892-01-01,1892,FALSE,Kansas City Police Department, MO
Patrolman William H. Schnell,"Chicago Police Department, IL","EOW: Saturday, January 2, 1892",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1892-01-02,1892,FALSE,Chicago Police Department, IL
Sheriff Samuel W. Dunn,"Seward County Sheriff's Office, KS","EOW: Tuesday, January 5, 1892",Cause of Death: Gunfire,Gunfire,1892-01-05,1892,FALSE,Seward County Sheriff's Office, KS
Patrolman Thomas A. Mabry,"Roanoke City Police Department, VA","EOW: Friday, January 8, 1892",Cause of Death: Assault,Assault,1892-01-08,1892,FALSE,Roanoke City Police Department, VA
Night Watchman Simeon W. Coleman,"Pierce City Police Department, MO","EOW: Saturday, January 9, 1892",Cause of Death: Gunfire,Gunfire,1892-01-09,1892,FALSE,Pierce City Police Department, MO
Police Officer S. B. McLemore,"Fort Scott Police Department, KS","EOW: Saturday, January 23, 1892",Cause of Death: Gunfire,Gunfire,1892-01-23,1892,FALSE,Fort Scott Police Department, KS
Deputy Sheriff Pantaleon Lara,"Uvalde County Sheriff's Office, TX","EOW: Thursday, January 28, 1892",Cause of Death: Gunfire,Gunfire,1892-01-28,1892,FALSE,Uvalde County Sheriff's Office, TX
Deputy U.S. Marshal Rufus B. Glover,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, January 31, 1892",Cause of Death: Gunfire,Gunfire,1892-01-31,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Benjamin F. Holland,"Fannin County Sheriff's Office, TX","EOW: Saturday, February 6, 1892",Cause of Death: Gunfire,Gunfire,1892-02-06,1892,FALSE,Fannin County Sheriff's Office, TX
Patrolman Jasper H. Cole,"Chicago Police Department, IL","EOW: Wednesday, February 10, 1892",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1892-02-10,1892,FALSE,Chicago Police Department, IL
Deputy Sheriff Herbert Hard,"DeSoto County Sheriff's Office, FL","EOW: Saturday, February 13, 1892",Cause of Death: Gunfire,Gunfire,1892-02-13,1892,FALSE,DeSoto County Sheriff's Office, FL
Deputy U.S. Marshal John B. Pemberton,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, February 20, 1892",Cause of Death: Gunfire,Gunfire,1892-02-20,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff William Sadler,"Whitley County Sheriff's Department, KY","EOW: Monday, February 29, 1892",Cause of Death: Gunfire,Gunfire,1892-02-29,1892,FALSE,Whitley County Sheriff's Department, KY
City Marshal William Sprinkle,"Dexter Police Department, MO","EOW: Monday, February 29, 1892",Cause of Death: Gunfire,Gunfire,1892-02-29,1892,FALSE,Dexter Police Department, MO
Deputy Sheriff William Lafayette Nettles,"Bowie County Sheriff's Department, TX","EOW: Tuesday, March 1, 1892",Cause of Death: Gunfire,Gunfire,1892-03-01,1892,FALSE,Bowie County Sheriff's Department, TX
Deputy U.S. Marshal Charles K. Stuart,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, March 4, 1892",Cause of Death: Gunfire,Gunfire,1892-03-04,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff George Williams,"Taney County Sheriff's Office, MO","EOW: Saturday, March 12, 1892",Cause of Death: Gunfire,Gunfire,1892-03-12,1892,FALSE,Taney County Sheriff's Office, MO
Policeman John Merget,"Reading Coal and Iron Police Department, PA","EOW: Wednesday, March 16, 1892",Cause of Death: Gunfire,Gunfire,1892-03-16,1892,FALSE,Reading Coal and Iron Police Department, PA
Private Robert E. Doaty,"Texas Rangers, TX","EOW: Tuesday, March 22, 1892",Cause of Death: Gunfire,Gunfire,1892-03-22,1892,FALSE,Texas Rangers, TX
Overseer James A. Bloomer,"Pennsylvania Department of Corrections, PA","EOW: Friday, March 25, 1892",Cause of Death: Stabbed,Stabbed,1892-03-25,1892,FALSE,Pennsylvania Department of Corrections, PA
Deputy Sheriff Floyd Slusher,"Leslie County Sheriff's Office, KY","EOW: Thursday, March 31, 1892",Cause of Death: Gunfire,Gunfire,1892-03-31,1892,FALSE,Leslie County Sheriff's Office, KY
Deputy U.S. Marshal Julious D. Miller,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, April 3, 1892",Cause of Death: Gunfire,Gunfire,1892-04-03,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff William B. Spencer,"Whitman County Sheriff's Department, WA","EOW: Sunday, April 3, 1892",Cause of Death: Gunfire,Gunfire,1892-04-03,1892,FALSE,Whitman County Sheriff's Department, WA
Patrolman John Hurley,"New Orleans Police Department, LA","EOW: Monday, April 4, 1892",Cause of Death: Gunfire,Gunfire,1892-04-04,1892,FALSE,New Orleans Police Department, LA
Patrol Officer James Moran,"Charlotte Police Department, NC","EOW: Monday, April 4, 1892",Cause of Death: Gunfire,Gunfire,1892-04-04,1892,FALSE,Charlotte Police Department, NC
Deputy Sheriff John M. Cleary,"Vigo County Sheriff's Office, IN","EOW: Saturday, April 9, 1892",Cause of Death: Gunfire,Gunfire,1892-04-09,1892,FALSE,Vigo County Sheriff's Office, IN
Sheriff Matthew L. Browne,"Cameron County Sheriff's Office, TX","EOW: Monday, April 11, 1892",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1892-04-11,1892,FALSE,Cameron County Sheriff's Office, TX
"Deputy Sheriff Charles E. ""Charlie"" Ray","Monroe County Sheriff's Office, TN","EOW: Thursday, April 21, 1892",Cause of Death: Gunfire,Gunfire,1892-04-21,1892,FALSE,Monroe County Sheriff's Office, TN
Special Policeman Philip H. Goins,"Frankfort Police Department, KY","EOW: Saturday, April 23, 1892",Cause of Death: Heart attack,Heart attack,1892-04-23,1892,FALSE,Frankfort Police Department, KY
"Deputy U.S. Marshal John S. ""Speed"" Hamilton","United States Department of Justice - United States Marshals Service, US","EOW: Thursday, April 28, 1892",Cause of Death: Gunfire,Gunfire,1892-04-28,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman Robert Nichol,"New York Police Department, NY","EOW: Sunday, May 1, 1892",Cause of Death: Accidental,Accidental,1892-05-01,1892,FALSE,New York Police Department, NY
City Marshal Elias T. Mussett,"Corpus Christi Police Department, TX","EOW: Friday, May 6, 1892",Cause of Death: Gunfire,Gunfire,1892-05-06,1892,FALSE,Corpus Christi Police Department, TX
City Marshal James Carter,"Toccoa Police Department, GA","EOW: Monday, May 9, 1892",Cause of Death: Assault,Assault,1892-05-09,1892,FALSE,Toccoa Police Department, GA
Deputy U.S. Marshal George Wellman,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, May 9, 1892",Cause of Death: Gunfire,Gunfire,1892-05-09,1892,FALSE,United States Department of Justice - United States Marshals Service, US
City Marshal John W. Wolf,"Burnet Police Department, TX","EOW: Thursday, May 12, 1892",Cause of Death: Gunfire,Gunfire,1892-05-12,1892,FALSE,Burnet Police Department, TX
Deputy Sheriff Tom Holmes,"Perry County Sheriff's Office, AR","EOW: Saturday, May 21, 1892",Cause of Death: Assault,Assault,1892-05-21,1892,FALSE,Perry County Sheriff's Office, AR
Officer Cassee Odorous Brewer,"Dallas Police Department, TX","EOW: Tuesday, May 24, 1892",Cause of Death: Gunfire,Gunfire,1892-05-24,1892,FALSE,Dallas Police Department, TX
Deputy Sheriff Ben Wilder,"Bibb County Sheriff's Office, GA","EOW: Sunday, May 29, 1892",Cause of Death: Gunfire,Gunfire,1892-05-29,1892,FALSE,Bibb County Sheriff's Office, GA
"Guard William H. ""Will"" Camp","McLennan County Convict Farm, TX","EOW: Wednesday, June 8, 1892",Cause of Death: Drowned,Drowned,1892-06-08,1892,FALSE,McLennan County Convict Farm, TX
Sheriff Abraham G. Byler,"Baxter County Sheriff's Department, AR","EOW: Wednesday, June 15, 1892",Cause of Death: Gunfire,Gunfire,1892-06-15,1892,FALSE,Baxter County Sheriff's Department, AR
Officer William H. Riddle,"Dallas Police Department, TX","EOW: Friday, June 17, 1892",Cause of Death: Gunfire,Gunfire,1892-06-17,1892,FALSE,Dallas Police Department, TX
Police Officer Clarence H. Bixler,"Rogers Park Police Department, IL","EOW: Wednesday, June 22, 1892",Cause of Death: Gunfire,Gunfire,1892-06-22,1892,FALSE,Rogers Park Police Department, IL
"Marshal Isaac Phillip ""Ike"" Thompson","Montgomery Police Department, WV","EOW: Wednesday, June 22, 1892",Cause of Death: Gunfire,Gunfire,1892-06-22,1892,FALSE,Montgomery Police Department, WV
Town Marshal Jeremiah Hughes,"Easley Police Department, SC","EOW: Thursday, June 23, 1892",Cause of Death: Gunfire,Gunfire,1892-06-23,1892,FALSE,Easley Police Department, SC
Policeman William F. Jordan,"Butte Police Department, MT","EOW: Friday, June 24, 1892",Cause of Death: Gunfire,Gunfire,1892-06-24,1892,FALSE,Butte Police Department, MT
Officer C. Lee Waller,"Fort Worth Police Department, TX","EOW: Thursday, June 30, 1892",Cause of Death: Gunfire,Gunfire,1892-06-30,1892,FALSE,Fort Worth Police Department, TX
Officer William Elliott,"Tucson Police Department, AZ","EOW: Saturday, July 2, 1892",Cause of Death: Stabbed,Stabbed,1892-07-02,1892,FALSE,Tucson Police Department, AZ
Deputy Sheriff Andrew Winfield Balfour,"Kiowa County Sheriff's Office, KS","EOW: Monday, July 4, 1892",Cause of Death: Gunfire,Gunfire,1892-07-04,1892,FALSE,Kiowa County Sheriff's Office, KS
Constable James Frederick Green,"Donley County Constable's Office - Precinct 2, TX","EOW: Tuesday, July 5, 1892",Cause of Death: Gunfire,Gunfire,1892-07-05,1892,FALSE,Donley County Constable's Office - Precinct 2, TX
Field Inspector George Bingham Grissom,"Texas and Southwestern Cattle Raisers Association, TX","EOW: Tuesday, July 5, 1892",Cause of Death: Gunfire,Gunfire,1892-07-05,1892,FALSE,Texas and Southwestern Cattle Raisers Association, TX
Special Deputy Marshal James Ballenger,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, July 21, 1892",Cause of Death: Gunfire,Gunfire,1892-07-21,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Thomas Howard,"Montgomery County Sheriff's Office, KY","EOW: Tuesday, July 26, 1892",Cause of Death: Gunfire,Gunfire,1892-07-26,1892,FALSE,Montgomery County Sheriff's Office, KY
Jailer Kavanaugh Tipton,"Montgomery County Regional Jail, KY","EOW: Tuesday, July 26, 1892",Cause of Death: Gunfire,Gunfire,1892-07-26,1892,FALSE,Montgomery County Regional Jail, KY
Officer Minor Cudihee,"Tacoma Police Department, WA","EOW: Saturday, July 30, 1892",Cause of Death: Stabbed,Stabbed,1892-07-30,1892,FALSE,Tacoma Police Department, WA
Deputy Sheriff Oscar A. Beaver,"Tulare County Sheriff's Office, CA","EOW: Saturday, August 6, 1892",Cause of Death: Gunfire,Gunfire,1892-08-06,1892,FALSE,Tulare County Sheriff's Office, CA
Constable Hugh J. Coyle,"McDonald Borough Police Department, PA","EOW: Saturday, August 6, 1892",Cause of Death: Gunfire,Gunfire,1892-08-06,1892,FALSE,McDonald Borough Police Department, PA
Marshal Abraham Conrad,"Eugene Town Marshal's Office, IN","EOW: Wednesday, August 10, 1892",Cause of Death: Stabbed,Stabbed,1892-08-10,1892,FALSE,Eugene Town Marshal's Office, IN
Corporal Thomas Fitzgerald,"New Orleans Police Department, LA","EOW: Wednesday, August 10, 1892",Cause of Death: Gunfire,Gunfire,1892-08-10,1892,FALSE,New Orleans Police Department, LA
Sheriff Santiago A. Brito,"Cameron County Sheriff's Office, TX","EOW: Sunday, August 21, 1892",Cause of Death: Gunfire,Gunfire,1892-08-21,1892,FALSE,Cameron County Sheriff's Office, TX
Police Officer John Isaac Fulton,"Winfield Police Department, KS","EOW: Friday, September 2, 1892",Cause of Death: Gunfire,Gunfire,1892-09-02,1892,FALSE,Winfield Police Department, KS
Patrolman John Powell,"Chicago Police Department, IL","EOW: Tuesday, September 6, 1892",Cause of Death: Gunfire,Gunfire,1892-09-06,1892,FALSE,Chicago Police Department, IL
Patrolman Henry McDowell,"Chicago Police Department, IL","EOW: Wednesday, September 7, 1892",Cause of Death: Gunfire,Gunfire,1892-09-07,1892,FALSE,Chicago Police Department, IL
Sheriff John Thomas Olive,"Williamson County Sheriff's Office, TX","EOW: Monday, September 12, 1892",Cause of Death: Gunfire,Gunfire,1892-09-12,1892,FALSE,Williamson County Sheriff's Office, TX
Deputy U.S. Marshal Vernon Coke Wilson,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, September 13, 1892",Cause of Death: Gunfire,Gunfire,1892-09-13,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Andrew W. McGennis,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, September 13, 1892",Cause of Death: Gunfire,Gunfire,1892-09-13,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Police Officer Henry W. Dunker,"Cairo Police Department, IL","EOW: Sunday, September 18, 1892",Cause of Death: Gunfire,Gunfire,1892-09-18,1892,FALSE,Cairo Police Department, IL
Special Policeman David M. Gray,"Lexington Police Department, MO","EOW: Thursday, September 29, 1892",Cause of Death: Gunfire,Gunfire,1892-09-29,1892,FALSE,Lexington Police Department, MO
Marshal Charles T. Connelly,"Coffeyville Police Department, KS","EOW: Wednesday, October 5, 1892",Cause of Death: Gunfire,Gunfire,1892-10-05,1892,FALSE,Coffeyville Police Department, KS
Deputy Collector Stephen D. Mather,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Friday, October 7, 1892",Cause of Death: Gunfire,Gunfire,1892-10-07,1892,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Revenue Agent S. Creed Cardwell,"United States Department of the Treasury - Office of Internal Revenue - Division of Revenue Agents, US","EOW: Friday, October 7, 1892",Cause of Death: Gunfire,Gunfire,1892-10-07,1892,FALSE,United States Department of the Treasury - Office of Internal Revenue - Division of Revenue Agents, US
Deputy U.S. Marshal John Fields,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, October 19, 1892",Cause of Death: Gunfire,Gunfire,1892-10-19,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Policeman John M. McManus,"Heath Springs Police Department, SC","EOW: Tuesday, October 25, 1892",Cause of Death: Gunfire,Gunfire,1892-10-25,1892,FALSE,Heath Springs Police Department, SC
Deputy Collector Joe L. Spurrier,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Thursday, October 27, 1892",Cause of Death: Gunfire,Gunfire,1892-10-27,1892,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Detective John J. Carey,"New York Police Department, NY","EOW: Thursday, November 3, 1892",Cause of Death: Gunfire,Gunfire,1892-11-03,1892,FALSE,New York Police Department, NY
"Deputy U.S. Marshal Thomas Calton ""Tom"" Smith","United States Department of Justice - United States Marshals Service, US","EOW: Thursday, November 3, 1892",Cause of Death: Gunfire,Gunfire,1892-11-03,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Melvin Duncan Livingston,"Richmond County Sheriff's Office, NC","EOW: Monday, November 14, 1892",Cause of Death: Gunfire,Gunfire,1892-11-14,1892,FALSE,Richmond County Sheriff's Office, NC
Sheriff Noah H. McGinnis,"Gordon County Sheriff's Office, GA","EOW: Sunday, November 27, 1892",Cause of Death: Gunfire,Gunfire,1892-11-27,1892,FALSE,Gordon County Sheriff's Office, GA
Justice of the Peace Charles L. Flake,"Snowflake Police Department, AZ","EOW: Thursday, December 1, 1892",Cause of Death: Gunfire,Gunfire,1892-12-01,1892,FALSE,Snowflake Police Department, AZ
Constable William Tedder,"Franklin County Constable's Office - Precinct 3, TX","EOW: Saturday, December 3, 1892",Cause of Death: Gunfire,Gunfire,1892-12-03,1892,FALSE,Franklin County Constable's Office - Precinct 3, TX
Deputy Sheriff Henry Barganier,"Butler County Sheriff's Office, AL","EOW: Saturday, December 10, 1892",Cause of Death: Gunfire,Gunfire,1892-12-10,1892,FALSE,Butler County Sheriff's Office, AL
Deputy U.S. Marshal Floyd Wilson,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, December 13, 1892",Cause of Death: Gunfire,Gunfire,1892-12-13,1892,FALSE,United States Department of Justice - United States Marshals Service, US
Constable F. M. Ledbetter,"Morris County Constable's Office - Precinct 3, TX","EOW: Friday, December 16, 1892",Cause of Death: Gunfire,Gunfire,1892-12-16,1892,FALSE,Morris County Constable's Office - Precinct 3, TX
Deputy Sheriff Joe Brigham,"Hunt County Sheriff's Office, TX","EOW: Sunday, December 18, 1892",Cause of Death: Gunfire,Gunfire,1892-12-18,1892,FALSE,Hunt County Sheriff's Office, TX
Constable James B. Stevens,"Wise County Constable's Office - Precinct 2, TX","EOW: Monday, December 19, 1892",Cause of Death: Gunfire,Gunfire,1892-12-19,1892,FALSE,Wise County Constable's Office - Precinct 2, TX
Marshal John Cox,"Lamasco Police Department, KY","EOW: Saturday, December 24, 1892",Cause of Death: Gunfire,Gunfire,1892-12-24,1892,FALSE,Lamasco Police Department, KY
Deputy Sheriff William Rutherford Hunter,"Van Zandt County Sheriff's Office, TX","EOW: Wednesday, December 28, 1892",Cause of Death: Gunfire,Gunfire,1892-12-28,1892,FALSE,Van Zandt County Sheriff's Office, TX
Constable W. F. Deskins,"Magoffin County Constable's Office, KY","EOW: Tuesday, January 3, 1893",Cause of Death: Gunfire,Gunfire,1893-01-03,1893,FALSE,Magoffin County Constable's Office, KY
Constable Joseph Trescott,"Charleston County Magistrate's Office, SC","EOW: Friday, January 6, 1893",Cause of Death: Gunfire,Gunfire,1893-01-06,1893,FALSE,Charleston County Magistrate's Office, SC
Patrolman Craig Scott,"Cincinnati Police Department, OH","EOW: Tuesday, January 10, 1893",Cause of Death: Gunfire,Gunfire,1893-01-10,1893,FALSE,Cincinnati Police Department, OH
Officer Walker Guice,"Jackson Police Department, MS","EOW: Saturday, January 14, 1893",Cause of Death: Gunfire,Gunfire,1893-01-14,1893,FALSE,Jackson Police Department, MS
Officer Cliff Hines,"Jackson Police Department, MS","EOW: Saturday, January 14, 1893",Cause of Death: Gunfire,Gunfire,1893-01-14,1893,FALSE,Jackson Police Department, MS
Special Policeman Gustave Gisin,"Denver Police Department, CO","EOW: Tuesday, January 24, 1893",Cause of Death: Gunfire,Gunfire,1893-01-24,1893,FALSE,Denver Police Department, CO
Deputy Sheriff Charles A. St. Clair,"Butte County Sheriff's Office, CA","EOW: Saturday, February 4, 1893",Cause of Death: Drowned,Drowned,1893-02-04,1893,FALSE,Butte County Sheriff's Office, CA
Constable Clemente Reyna,"Duval County Constable's Office - Precinct 2, TX","EOW: Monday, February 6, 1893",Cause of Death: Gunfire,Gunfire,1893-02-06,1893,FALSE,Duval County Constable's Office - Precinct 2, TX
Patrolman Albert Turregano,"New Orleans Police Department, LA","EOW: Thursday, February 9, 1893",Cause of Death: Gunfire,Gunfire,1893-02-09,1893,FALSE,New Orleans Police Department, LA
Deputy U.S. Marshal C. B. Brockus,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, February 16, 1893",Cause of Death: Gunfire,Gunfire,1893-02-16,1893,FALSE,United States Department of Justice - United States Marshals Service, US
"Deputy Heinrich Wilhelm Hoffman, Jr.","Fort Bend County Sheriff's Office, TX","EOW: Sunday, February 19, 1893",Cause of Death: Gunfire,Gunfire,1893-02-19,1893,FALSE,Fort Bend County Sheriff's Office, TX
Special Officer William G. Cashin,"Oakland Police Department, CA","EOW: Sunday, March 12, 1893",Cause of Death: Gunfire,Gunfire,1893-03-12,1893,FALSE,Oakland Police Department, CA
Sheriff John Burnett,"Campbell County Sheriff's Office, TN","EOW: Saturday, March 18, 1893",Cause of Death: Gunfire,Gunfire,1893-03-18,1893,FALSE,Campbell County Sheriff's Office, TN
Deputy Keeper George W. Haight,"Michigan Department of Corrections, MI","EOW: Monday, March 27, 1893",Cause of Death: Poisoned,Poisoned,1893-03-27,1893,FALSE,Michigan Department of Corrections, MI
Patrolman George H. Martin,"Carlisle Borough Police Department, PA","EOW: Saturday, April 8, 1893",Cause of Death: Gunfire,Gunfire,1893-04-08,1893,FALSE,Carlisle Borough Police Department, PA
Railroad Policeman Jake Frith,"Chicago, Milwaukee and St. Paul Railroad Police Department, RR","EOW: Friday, April 14, 1893",Cause of Death: Gunfire,Gunfire,1893-04-14,1893,FALSE,"Chicago, Milwaukee and St. Paul Railroad Police Department", RR
Railroad Policeman Henry Talcott,"Chicago, Milwaukee and St. Paul Railroad Police Department, RR","EOW: Friday, April 14, 1893",Cause of Death: Gunfire,Gunfire,1893-04-14,1893,FALSE,"Chicago, Milwaukee and St. Paul Railroad Police Department", RR
Guard S. A. Walden,"Tennessee Department of Correction, TN","EOW: Thursday, April 20, 1893",Cause of Death: Gunfire,Gunfire,1893-04-20,1893,FALSE,Tennessee Department of Correction, TN
Constable Shadrick R. Heslep,"Trinity County Constable's Office - Precinct 1, TX","EOW: Saturday, April 22, 1893",Cause of Death: Gunfire,Gunfire,1893-04-22,1893,FALSE,Trinity County Constable's Office - Precinct 1, TX
Special Deputy Sheriff William Rader,"Meagher County Sheriff's Department, MT","EOW: Tuesday, May 9, 1893",Cause of Death: Gunfire,Gunfire,1893-05-09,1893,FALSE,Meagher County Sheriff's Department, MT
Deputy Sheriff James Mackay,"Meagher County Sheriff's Department, MT","EOW: Saturday, May 13, 1893",Cause of Death: Gunfire,Gunfire,1893-05-13,1893,FALSE,Meagher County Sheriff's Department, MT
Constable Probert Peolia Story,"Morris County Constable's Office - Precinct 4, TX","EOW: Monday, May 15, 1893",Cause of Death: Gunfire,Gunfire,1893-05-15,1893,FALSE,Morris County Constable's Office - Precinct 4, TX
Police Officer Lee A. Boone,"St. Louis Metropolitan Police Department, MO","EOW: Tuesday, May 16, 1893",Cause of Death: Gunfire,Gunfire,1893-05-16,1893,FALSE,St. Louis Metropolitan Police Department, MO
Deputy Sheriff James Thomas McClendon,"Henry County Sheriff's Office, AL","EOW: Monday, May 22, 1893",Cause of Death: Gunfire,Gunfire,1893-05-22,1893,FALSE,Henry County Sheriff's Office, AL
Lieutenant Stillman A. Danforth,"Chicago Police Department, IL","EOW: Thursday, June 8, 1893",Cause of Death: Struck by train,Struck by train,1893-06-08,1893,FALSE,Chicago Police Department, IL
"Private Frank Louis Schmid, Jr.","Texas Rangers, TX","EOW: Saturday, June 17, 1893",Cause of Death: Gunfire,Gunfire,1893-06-17,1893,FALSE,Texas Rangers, TX
Special Deputy Marshal Calloway Branson Garner,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, June 24, 1893",Cause of Death: Gunfire,Gunfire,1893-06-24,1893,FALSE,United States Department of Justice - United States Marshals Service, US
"Constable Thomas Lewis Townsend, Jr.","Colorado County Constable's Office - Precinct 4, TX","EOW: Monday, June 26, 1893",Cause of Death: Animal related,Animal related,1893-06-26,1893,FALSE,Colorado County Constable's Office - Precinct 4, TX
Sheriff William H. Pascoe,"Nevada County Sheriff's Office, CA","EOW: Friday, June 30, 1893",Cause of Death: Gunfire,Gunfire,1893-06-30,1893,FALSE,Nevada County Sheriff's Office, CA
Captain Frank Jones,"Texas Rangers, TX","EOW: Friday, June 30, 1893",Cause of Death: Gunfire,Gunfire,1893-06-30,1893,FALSE,Texas Rangers, TX
Deputy Sheriff William Erastus Whitehurst,"Hillsborough County Sheriff's Office, FL","EOW: Tuesday, July 4, 1893",Cause of Death: Gunfire,Gunfire,1893-07-04,1893,FALSE,Hillsborough County Sheriff's Office, FL
